
a{1} @01n e= []
dE.dpu{1}{4}(22) @01d r= 0
dE.dpu{1}{4}(23) @01d r= 0
dE.dpu{1}{4}(24) @01d r= 0
dE.dpu{1}{4}(25) @01d r= 0
dE.dpu{1}{4}(3) @01d r= 0
dE.dpu{1}{4}(4) @01d r= 0
dE.dpu{1}{4}(5) @01d r= 0
dE.dpu{1}{4}(6) @01d r= 0
dE.dpu{1}{4}(7) @01d r= 0
dE.dpu{1}{4}(8) @01d r= 0
dE.dpu{1}{4}(9) @01d r= 0
dE.dpu{1}{5}(1) @01d r= 0
dE.dpu{1}{5}(10) @01d r= 0
dE.dpu{1}{5}(11) @01d r= 0
dE.dpu{1}{5}(12) @01d r= 0
dE.dpu{1}{5}(13) @01d r= 0
dE.dpu{1}{5}(14) @01d r= 0
dE.dpu{1}{5}(15) @01d r= 0
dE.dpu{1}{5}(16) @01d r= 0
dE.dpu{1}{5}(17) @01d r= 0
dE.dpu{1}{5}(18) @01d r= 0
dE.dpu{1}{5}(19) @01d r= 0
dE.dpu{1}{5}(2) @01d r= 0
dE.dpu{1}{5}(20) @01d r= 0
dE.dpu{1}{5}(21) @01d f= 1.233110e-10
dE.dpu{1}{5}(21) @02d f= -1.000495e-02
dE.dpu{1}{5}(21) @03d f= -1.024211e-02
dE.dpu{1}{5}(21) @04d f= 1.011487e-02
dE.dpu{1}{5}(21) @05d f= 1.063734e-01
dE.dpu{1}{5}(21) @06d f= -1.002936e-01
dE.dpu{1}{5}(21) @07d f= 1.008098e-01
dE.dpu{1}{5}(21) @08d f= -1.001245e-01
dE.dpu{1}{5}(21) @09d f= -1.001675e-01
dE.dpu{1}{5}(21) @10d f= -1.001515e-01
dE.dpu{1}{5}(21) @11d f= -1.001515e-01
dE.dpu{1}{5}(21) @12d f= -1.001515e-01
dE.dpu{1}{5}(21) @13d f= -1.001515e-01
dE.dpu{1}{5}(21) @14d f= -1.001515e-01
dE.dpu{1}{5}(21) @15d f= -1.001515e-01
dE.dpu{1}{5}(21) @16d f= -1.001515e-01
dE.dpu{1}{5}(22) @01d r= 0
dE.dpu{1}{5}(23) @01d r= 0
dE.dpu{1}{5}(24) @01d r= 0
dE.dpu{1}{5}(25) @01d r= 0
dE.dpu{1}{5}(3) @01d r= 0
dE.dpu{1}{5}(4) @01d r= 0
dE.dpu{1}{5}(5) @01d r= 0
dE.dpu{1}{5}(6) @01d r= 0
dE.dpu{1}{5}(7) @01d r= 0
dE.dpu{1}{5}(8) @01d r= 0
dE.dpu{1}{5}(9) @01d r= 0
dE.dpu{1}{6}(1) @01d r= 0
dE.dpu{1}{6}(10) @01d r= 0
dE.dpu{1}{6}(11) @01d r= 0
dE.dpu{1}{6}(12) @01d r= 0
dE.dpu{1}{6}(13) @01d r= 0
dE.dpu{1}{6}(14) @01d r= 0
dE.dpu{1}{6}(15) @01d r= 0
dE.dpu{1}{6}(16) @01d r= 0
dE.dpu{1}{6}(17) @01d r= 0
dE.dpu{1}{6}(18) @01d r= 0
dE.dpu{1}{6}(19) @01d r= 0
dE.dpu{1}{6}(2) @01d r= 0
dE.dpu{1}{6}(20) @01d r= 0
dE.dpu{1}{6}(21) @01d f= 1.233213e-10
dE.dpu{1}{6}(21) @02d f= 1.005274e-03
dE.dpu{1}{6}(21) @03d f= 1.002582e-02
dE.dpu{1}{6}(21) @04d f= -1.009240e-04
dE.dpu{1}{6}(21) @05d f= 1.006131e-03
dE.dpu{1}{6}(21) @06d f= 1.012134e-02
dE.dpu{1}{6}(21) @07d f= -1.001459e-02
dE.dpu{1}{6}(21) @08d f= -1.000540e-02
dE.dpu{1}{6}(21) @09d f= 1.002331e-01
dE.dpu{1}{6}(21) @10d f= 1.003645e-01
dE.dpu{1}{6}(21) @11d f= 1.003645e-01
dE.dpu{1}{6}(21) @12d f= 1.003645e-01
dE.dpu{1}{6}(21) @13d f= 1.003645e-01
dE.dpu{1}{6}(21) @14d f= 1.003645e-01
dE.dpu{1}{6}(21) @15d f= 1.003645e-01
dE.dpu{1}{6}(21) @16d f= 1.003645e-01
dE.dpu{1}{6}(22) @01d r= 0
dE.dpu{1}{6}(23) @01d r= 0
dE.dpu{1}{6}(24) @01d r= 0
dE.dpu{1}{6}(25) @01d r= 0
dE.dpu{1}{6}(3) @01d r= 0
dE.dpu{1}{6}(4) @01d r= 0
dE.dpu{1}{6}(5) @01d r= 0
dE.dpu{1}{6}(6) @01d r= 0
dE.dpu{1}{6}(7) @01d r= 0
